ID,Time,1 Country of research institute,2 Which best describes your affiliation with eDNA?,3 How long have you worked with eDNA?,4 At which career stage are you?,5 Which area would you consider best describes your work? ,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status) (e.g., modelling, assessment of ecological status)","7 With regards to eDNA, where is your main area of expertise?",8 What type of eDNA samples do you work with?,"9 Wth regards to eDNA, what type of organism(s) do you study",10 How much development is needed—1)Sampling methodology (in the field),10—2)Primer development (metabarcoding),10—3)Primer development (single-species),10—4)Reference database quality/completion,10—5)Quantification (single species),10—6)Quantification (metabarcoding),10—7)Biomonitoring,10—8)Understanding behavior of eDNA,10—9)Ability to interpret results,10—10)Translation to practice,11 Where did you hear about this survey?,12 Do you have any other comments?
1,137 Second,Asia-China,researcher (academic),> 5 years,Doctoral student,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Freshwater ecosystems,water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,2,2,2,3,1,5,2,2,2,4,social media,
2,72 Second,Asia-Japan,researcher (academic),2-5 years,Master/Undergraduate,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Marine ecosystems,water,Vertebrates;Invertebrates,5,5,1,5,1,1,1,5,5,1,social media,
3,95 Second,Asia-China,researcher (academic),> 5 years,Group leader/Professor,,"End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,water,Invertebrates;Plants/Macroalgae,3,3,2,2,2,3,3,3,3,1,social media,
4,90 Second,Asia-China,end-user (governmental organisation or similar),2-5 years,,Non-goverment worker,"End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,water,Vertebrates,1,2,2,2,2,2,1,2,2,2,others,
5,143 Second,Asia-China,researcher (academic),> 5 years,Post-Doc/Senior Researcher,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,water,Micro-eukaryotes;Prokaryotes,1,2,3,3,2,2,2,3,3,3,social media,
6,108 Second,Asia-China,researcher (academic),2-5 years,Group leader/Professor,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,sediment;water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,3,2,2,3,3,3,3,3,3,3,social media,
7,146 Second,Asia-China,researcher (academic),< 2 years,Post-Doc/Senior Researcher,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,sediment;water,Invertebrates;Plants/Macroalgae;Micro-eukaryotes,4,3,3,2,5,5,4,4,4,4,social media,
8,123 Second,Asia-China,researcher (academic),> 5 years,Group leader/Professor,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,sediment;water,Vertebrates;Micro-eukaryotes;Prokaryotes,2,2,3,5,4,5,3,5,4,5,others,
9,115 Second,Asia-China,end-user (governmental organisation or similar),> 5 years,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Terrestrial ecosystems,sediment;water;biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,4,3,4,3,3,4,4,4,4,social media,
10,139 Second,Asia-China,researcher (academic),2-5 years,Doctoral student,,"Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,water,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,2,2,2,3,2,4,3,3,3,3,others,
11,154 Second,Asia-China,researcher (academic),< 2 years,Master/Undergraduate,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,soil;water,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,2,3,3,4,4,5,3,4,4,3,social media,
12,141 Second,Asia-China,researcher (academic),< 2 years,Master/Undergraduate,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,water,Plants/Macroalgae,3,3,3,3,3,3,3,3,3,3,others,
13,75 Second,Asia-China,researcher (academic),< 2 years,Master/Undergraduate,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,water,Vertebrates,2,2,2,2,3,3,4,3,3,3,social media,
14,114 Second,Asia-China,researcher (academic),2-5 years,Doctoral student,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Freshwater ecosystems,water,Micro-eukaryotes,1,3,3,4,4,4,4,3,2,3,social media,None
15,621 Second,Asia-China,researcher (academic),2-5 years,Master/Undergraduate,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Freshwater ecosystems,sediment,Invertebrates,3,3,3,3,3,3,3,3,3,3,social media,None
16,159 Second,Asia-China,researcher (academic),< 2 years,Master/Undergraduate,,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment)",Marine ecosystems,water,Vertebrates;Invertebrates;Plants/Macroalgae,4,4,4,4,4,4,4,4,4,4,social media,None
